mgmt_code,mgmt_name,short_name,former_name
3W7,코어자산운용,코어,
3C5,쿼드자산운용,쿼드,쿼드투자자문
3L8,쿼터백자산운용,쿼터백,
4E2,퀀트인자산운용,퀀트인,
4C2,퀸즈가드자산운용,퀸즈가드,
4I3,크라운락자산운용,크라운락,
4F7,크레스트아시아자산운용,크레스트아시아,
206,키움투자자산운용,키움투자,우리자산운용
3U5,키웨스트글로벌자산운용,키웨스트,
3W2,킹슬리자산운용,킹슬리,
3Y5,타이거대체투자운용,타이거대체투자,
3F1,타이거자산운용투자일임,타이거,타이거자산운용투자자문
3J1,타임폴리오자산운용,타임폴리오,
4I1,테라몬스자산운용,테라몬스,
453,템플턴하나자산운용,템플턴하나,다비하나인프라펀드자산운용
3N1,토터스자산운용,토터스,
4J9,토포앤코코리아자산운용,토포앤코코리아,
3R8,트라움자산운용,트라움,라움자산운용
363,트러스톤자산운용,트러스톤,
4B3,트레스자산운용,트레스,
3K1,트리니티자산운용,트리니티,
4F4,티아이자산운용,티아이,
4B7,티앤씨자산운용,티앤씨,
3V7,티에스대성자산운용,티에스,지마이티자산운용
3R2,티엘자산운용,티엘,
3M9,파레토자산운용,파레토,
4B4,파로스자산운용,파로스,
371,파빌리온자산운용,파빌리온,아시아자산운용
4B2,파운트자산운용,파운트,
3Z5,파이브트리자산운용,파이브트리,
212,파인만자산운용,파인만,맥쿼리투신운용
3E4,파인밸류자산운용,파인밸류,
3E7,파인스트리트자산운용,파인스트리트,
308,파인아시아자산운용,파인아시아,피닉스자산운용
4F2,파인앤파트너스자산운용,파인앤파트너스,
380,파인트리자산운용,파인트리,
3Y8,퍼시픽브릿지자산운용,퍼시픽브릿지,퍼시픽브릿지자산운용 주식회사
3M4,퍼시픽자산운용,퍼시픽,
3G8,페블스톤자산운용,페블스톤,
4A9,페블즈자산운용,페블즈,
3F4,페트라자산운용,페트라,
